Education,US-born Californians,CA Immigrants,Recent CA Immigrants
Graduate Degree,13,13,23
Bachelor's Degree,25,19,29
Some college or Associate degree,34,19,14
High school graduate,21,20,17
No high school diploma,7,29,17
