Region,1966-1975,1976-1985,1986-1995,1996-2005,2006-2015
Africa,1533,2122,2254,2453,4177
Asia,63246,145178,368625,762610,1508176
Caribbean,113,228,236,572,897
Europe,221786,252968,301637,461943,783167
Middle East,1253,2913,7265,22550,62890
North America,19498,22349,36497,68788,121403
Oceania,3832,6848,9527,21983,41413
South America,1238,1627,2258,4243,9473
