industry,total,immi_founded,immi_percent
Business Services,22,14,64
Consumer Goods,41,20,49
Energy,60,19,32
Finance/Insurance,79,26,33
Health Care,21,5,24
High-Tech,98,45,46
Industrials,41,23,56
Media/Entertainment,16,9,56
Transportation/Logistics,35,18,51
Wholesale/Retail,87,37,43
