Region,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Africa,108,97,116,103,158,116,151,153,179,240,220,163,188,206,231,219,223,210,219,227,236,217,258,201,223,202,201,235,262,253,202,210,214,230,212,248,271,275,268,287,238,279,318,348,398,394,440,440,547,514,499
Asia,2304,2564,3417,4084,5541,6203,7533,6946,8718,9408,8832,9657,10005,10580,11592,13486,14576,16786,16716,19287,22493,24284,26194,30221,34267,37281,40851,43452,39976,44499,47600,49519,53231,59492,64239,70333,82455,83182,88995,99080,112084,126632,129898,134776,137850,146127,151445,161930,166439,174276,178803
Caribbean,2,4,8,7,8,4,4,19,14,25,20,25,39,29,28,15,12,23,19,21,17,23,24,28,8,17,18,23,28,25,42,36,36,44,51,68,64,61,70,75,67,62,71,108,106,89,85,81,109,87,99
Europe,17633,17121,18500,19835,22439,22034,23210,23423,25200,25618,24406,24175,24628,25488,24859,25391,25675,25869,24117,26179,26587,28314,28584,29524,30589,31038,29748,31047,28581,31022,33190,31360,33799,38501,45407,48342,53204,53422,50396,52936,54576,59559,64741,68982,72209,78757,80254,85166,88874,91553,93072
Middle East,97,98,75,92,104,92,126,147,171,178,170,183,223,219,243,262,328,334,332,394,395,446,533,513,663,632,657,799,833,1074,1115,1076,1236,1488,2054,2567,2765,2719,2608,2786,3251,3815,4576,4765,5035,5679,6043,7247,8242,8387,9101
North America,1791,1429,1548,1739,1801,1940,2114,2086,2234,2321,2286,2366,2299,2150,2160,2057,2307,2217,2073,2359,2361,2512,2868,3128,3507,3597,3753,3872,4009,4381,4870,4557,4818,5854,6318,7029,7438,7548,7969,8395,8862,9893,10669,10582,10574,12013,12312,13946,14075,13489,13850
Oceania,251,240,285,335,342,331,378,438,498,508,477,556,524,627,673,641,717,717,705,825,863,944,975,862,922,916,874,970,867,1053,1144,1233,1181,1608,1705,2081,2318,2540,2697,3348,3272,3343,3867,4423,4256,4284,4285,4161,4291,4154,4349
South America,126,117,97,96,114,112,124,143,130,147,158,169,162,176,173,160,171,153,132,151,180,204,162,154,200,232,249,252,232,317,256,304,290,362,376,463,482,453,497,500,516,603,667,749,766,906,968,1062,1204,1246,1302
